County_Name,pct_rural
Charlevoix,70
Cheboygan,82
Chippewa,48
Clare,70
Clinton,52
Crawford,72
Delta,43
Dickinson,32
Eaton,37
Emmet,74
Genesee,16
Gladwin,88
Gogebic,68
Grand Traverse,48
Gratiot,60
Hillsdale,69
Houghton,37
Huron,89
Ingham,13
Ionia,60
Iosco,58
Iron,72
Isabella,46
Jackson,41
Kalamazoo,17
Kalkaska,84
Kent,15
Keweenaw,100
Lake,100
Lapeer,77
Leelanau,91
Lenawee,51
Livingston,36
Luce,51
Mackinac,77
Macomb,2
Manistee,61
Marquette,41
Mason,62
Mecosta,66
Menominee,64
Midland,42
Missaukee,100
Monroe,37
Montcalm,84
Montmorency,100
Muskegon,23
Newaygo,83
Oakland,4
Oceana,89
Ogemaw,100
Ontonagon,100
Osceola,100
Oscoda,100
Otsego,65
Ottawa,20
Presque Isle,80
Roscommon,66
Saginaw,31
St. Clair,38
St. Joseph,54
Sanilac,90
Schoolcraft,58
Shiawassee,54
Tuscola,84
Van Buren,70
Washtenaw,16
Wayne,0
Wexford,64
Aitkin,100
Anoka,13
Becker,75
Beltrami,67
Benton,40
Big Stone,100
Blue Earth,26
Brown,34
Carlton,55
Carver,18
Cass,100
Chippewa,50
Chisago,55
Clay,27
Clearwater,100
Cook,100
Cottonwood,62
Crow Wing,62
Dakota,4
Dodge,51
Douglas,52
Faribault,77
Fillmore,93
Freeborn,42
Goodhue,47
Grant,100
Hennepin,2
Houston,57
Hubbard,83
Isanti,62
Itasca,79
Jackson,69
Kanabec,77
Kandiyohi,44
Kittson,100
Koochiching,46
Lac qui Parle,100
Lake,66
Lake of the Woods,100
Le Sueur,62
Lincoln,100
Lyon,47
McLeod,46
Mahnomen,100
Marshall,100
Martin,54
Meeker,65
Mille Lacs,70
Morrison,72
Mower,35
Murray,100
Nicollet,25
Nobles,40
Norman,100
Olmsted,16
Otter Tail,73
Pennington,36
Pine,89
Pipestone,57
Polk,48
Pope,100
Ramsey,0
Red Lake,100
Redwood,69
Renville,100
Rice,25
Rock,52
Roseau,82
St. Louis,37
Scott,17
Sherburne,44
Sibley,100
Stearns,36
Steele,30
Stevens,47
Swift,67
Todd,78
Traverse,100
Wabasha,64
Wadena,66
Waseca,50
Washington,14
Watonwan,59
Wilkin,50
Winona,34
Wright,32
Yellow Medicine,80
Adams,37
Alcorn,66
Amite,100
Attala,64
Benton,100
Bolivar,53
Calhoun,100
Carroll,100
Chickasaw,85
Choctaw,100
Claiborne,100
Clarke,100
Clay,55
Coahoma,31
Copiah,65
Covington,100
DeSoto,20
Forrest,29
Franklin,100
George,88
Greene,100
Grenada,52
Hancock,42
Harrison,22
Hinds,15
Holmes,86
Humphreys,49
Issaquena,100
