County_Name,mental_health_provider
Bremer,734
Buchanan,964
Buena Vista,2484
Butler,1615
Calhoun,4850
Carroll,1120
Cass,275
Cedar,2070
Cerro Gordo,365
Cherokee,809
Chickasaw,2393
Clarke,3141
Clay,264
Clayton,8778
Clinton,763
Crawford,1560
Dallas,3006
Davis,9017
Decatur,359
Delaware,1004
Des Moines,495
Dickinson,1906
Dubuque,621
Emmet,441
Fayette,2809
Floyd,7881
Franklin,10124
Fremont,3497
Greene,1497
Grundy,2461
Guthrie,5360
Hamilton,2990
Hancock,10712
Hardin,1874
Harrison,3534
Henry,872
Howard,4594
Humboldt,4774
Ida,6841
Iowa,1467
Jackson,1215
Jasper,1032
Jefferson,836
Johnson,274
Jones,2074
Keokuk,0
Kossuth,2982
Lee,1174
Linn,495
Louisa,2792
Lucas,865
Lyon,11811
Madison,1625
Mahaska,786
Marion,983
Marshall,555
Mills,2152
Mitchell,0
Monona,1447
Monroe,3895
Montgomery,1667
Muscatine,1590
O'Brien,2768
Osceola,0
Page,726
Palo Alto,1276
Plymouth,784
Pocahontas,0
Polk,391
Pottawattamie,538
Poweshiek,935
Ringgold,0
Sac,1388
Scott,737
Shelby,1053
Sioux,831
Story,493
Tama,2817
Taylor,6191
Union,562
Van Buren,3510
Wapello,618
Warren,5106
Washington,1582
Wayne,0
Webster,394
Winnebago,10518
Winneshiek,401
Woodbury,448
Worth,0
Wright,1813
Allen,830
Anderson,2626
Atchison,704
Barber,4472
Barton,443
Bourbon,1832
Brown,291
Butler,845
Chase,0
Chautauqua,0
Cherokee,690
Cheyenne,2660
Clark,0
Clay,1142
Cloud,546
Coffey,686
Comanche,0
Cowley,749
Crawford,465
Decatur,2871
Dickinson,3120
Doniphan,7682
Douglas,335
Edwards,0
Elk,0
Ellis,359
Ellsworth,3098
Finney,832
Ford,1027
Franklin,523
Geary,320
Gove,1306
Graham,0
Grant,1834
Gray,6033
Greeley,0
Greenwood,6055
Hamilton,0
Harper,5506
Harvey,263
Haskell,3997
Hodgeman,0
Jackson,1897
Jefferson,3163
Jewell,0
Johnson,435
Kearny,1972
Kingman,1218
Kiowa,210
Labette,1331
Lane,0
Leavenworth,502
Lincoln,3023
Linn,1083
Logan,0
Lyon,306
McPherson,1141
Marion,1992
Marshall,1620
Meade,0
Miami,624
Mitchell,1025
Montgomery,479
Morris,2761
Morton,2667
Nemaha,10155
Neosho,886
Ness,0
Norton,1358
Osage,15941
Osborne,1158
Ottawa,5802
Pawnee,164
Phillips,591
Pottawatomie,3468
Pratt,1340
Rawlins,0
Reno,636
Republic,2332
Rice,3177
Riley,426
Rooks,5013
Rush,0
Russell,0
Saline,286
Scott,979
Sedgwick,451
Seward,1281
Shawnee,286
Sheridan,0
Sherman,2950
