County_Name,personal_income_per_capita
Laurel,33921
Lawrence,31654
Lee,30157
Leslie,32724
Letcher,30852
Lewis,31156
Lincoln,31399
Livingston,37792
Logan,36005
Lyon,36652
McCracken,48383
McCreary,25835
McLean,41603
Madison,35397
Magoffin,30537
Marion,36083
Marshall,41625
Martin,29840
Mason,40541
Meade,40026
Menifee,30305
Mercer,37146
Metcalfe,31512
Monroe,36385
Montgomery,34751
Morgan,26831
Muhlenberg,33892
Nelson,42442
Nicholas,33999
Ohio,33262
Oldham,63039
Owen,33940
Owsley,31486
Pendleton,43757
Perry,38523
Pike,36319
Powell,31498
Pulaski,37024
Robertson,32815
Rockcastle,31176
Rowan,30777
Russell,34343
Scott,43409
Shelby,45392
Simpson,38189
Spencer,43960
Taylor,35020
Todd,38508
Trigg,36495
Trimble,36565
Union,33736
Warren,38045
Washington,37824
Wayne,28484
Webster,39188
Whitley,33447
Wolfe,31083
Woodford,51753
Acadia,37304
Allen,33381
Ascension,49829
Assumption,46788
Avoyelles,37911
Beauregard,42782
Bienville,38493
Bossier,44149
Caddo,48413
Calcasieu,48968
Caldwell,33950
Cameron,50280
Catahoula,33655
Claiborne,35240
Concordia,32942
De Soto,40584
East Baton Rouge,51386
East Carroll,36010
East Feliciana,42771
Evangeline,33671
Franklin,31928
Grant,31828
Iberia,39270
Iberville,41423
Jackson,34116
Jefferson,51005
Jefferson Davis,42334
Lafayette,50273
Lafourche,47096
La Salle,32413
Lincoln,40410
Livingston,40658
Madison,32437
Morehouse,38495
Natchitoches,39860
Orleans,52004
Ouachita,41053
Plaquemines,49376
Pointe Coupee,44366
Rapides,46090
Red River,42201
Richland,37330
Sabine,34558
St. Bernard,32130
St. Charles,49353
St. Helena,41592
St. James,48484
St. John the Baptist,40573
St. Landry,41191
St. Martin,37645
St. Mary,39280
St. Tammany,62366
Tangipahoa,38974
Tensas,36630
Terrebonne,41504
Union,38794
Vermilion,39042
Vernon,40729
Washington,33480
Webster,40175
West Baton Rouge,46976
West Carroll,36633
West Feliciana,38655
Winn,36698
Androscoggin,41528
Aroostook,41241
Cumberland,62523
Franklin,38544
Hancock,51259
Kennebec,44940
Knox,52358
Lincoln,50922
Oxford,37999
Penobscot,42053
Piscataquis,38427
Sagadahoc,51325
Somerset,38142
Waldo,40912
Washington,40378
York,52068
Allegany,40517
Anne Arundel,67363
Baltimore,61556
Calvert,62591
Caroline,45906
Carroll,63039
Cecil,47695
Charles,57051
Dorchester,46562
Frederick,61869
Garrett,45595
Harford,58841
Howard,78416
Kent,61497
Montgomery,89690
Prince George's,49420
Queen Anne's,64810
St. Mary's,56820
Somerset,31562
Talbot,73232
Washington,47092
Wicomico,42054
Worcester,60007
Baltimore City,51357
Barnstable,74756
Berkshire,56503
Bristol,54089
Dukes,93726
Essex,67507
Franklin,54689
Hampden,51187
Hampshire,52984
Middlesex,83795
Nantucket,124168
Norfolk,92285
Plymouth,67505
Suffolk,81152
Worcester,57003
Alcona,38375
Alger,33767
Allegan,45182
Alpena,40985
Antrim,47070
Arenac,37369
Baraga,33519
Barry,44919
Bay,41722
Benzie,43557
Berrien,47430
Branch,37622
Calhoun,40276
Cass,44994
Charlevoix,52885
Cheboygan,40080
Chippewa,34269
Clare,34120
Clinton,46518
Crawford,34648
Delta,40551
Dickinson,49397
Eaton,42693
Emmet,57115
Genesee,41068
Gladwin,36874
Gogebic,39945
Grand Traverse,50639
Gratiot,37834
Hillsdale,36598
Houghton,37674
Huron,45425
Ingham,40761
Ionia,35273
Iosco,37970
Iron,44959
Isabella,35501
Jackson,39832
Kalamazoo,48723
Kalkaska,34623
Kent,53935
Keweenaw,47618
Lake,31813
Lapeer,43679
Leelanau,67320
Lenawee,39600
Livingston,58326
Luce,31827
Mackinac,44457
Macomb,46530
Manistee,38814
Marquette,40036
Mason,41667
Mecosta,34252
Menominee,43594
Midland,60467
Missaukee,34972
Monroe,47496
Montcalm,34972
Montmorency,37363
Muskegon,39072
Newaygo,38037
Oakland,72741
Oceana,37950
Ogemaw,35396
Ontonagon,40129
Osceola,36023
Oscoda,33896
Otsego,40589
Ottawa,49418
Presque Isle,39004
Roscommon,37141
Saginaw,38754
St. Clair,44316
St. Joseph,38866
Sanilac,38004
Schoolcraft,39948
Shiawassee,39435
Tuscola,37979
Van Buren,41123
Washtenaw,59363
Wayne,42942
Wexford,36454
Aitkin,39780
Anoka,51258
Becker,47272
Beltrami,41565
Benton,43830
Big Stone,57221
Blue Earth,44383
Brown,52995
Carlton,43098
Carver,71350
Cass,47443
Chippewa,49836
Chisago,48750
Clay,43180
Clearwater,44001
Cook,55319
Cottonwood,47982
Crow Wing,45610
Dakota,60651
Dodge,47984
Douglas,53665
Faribault,43343
Fillmore,45378
Freeborn,45808
Goodhue,53549
Grant,52556
Hennepin,74698
Houston,52354
Hubbard,43235
Isanti,44049
Itasca,43685
Jackson,53276
Kanabec,42509
Kandiyohi,54667
Kittson,55597
Koochiching,41890
Lac qui Parle,55688
Lake,48132
Lake of the Woods,57357
Le Sueur,48799
Lincoln,48520
Lyon,49455
