County_Name,income_ratio
Tama,4
Taylor,4
Union,4
Van Buren,3
Wapello,4
Warren,3
Washington,3
Wayne,3
Webster,4
Winnebago,3
Winneshiek,3
Woodbury,4
Worth,3
Wright,4
Allen,4
Anderson,4
Atchison,4
Barber,5
Barton,4
Bourbon,4
Brown,3
Butler,4
Chase,4
Chautauqua,4
Cherokee,4
Cheyenne,4
Clark,4
Clay,3
Cloud,3
Coffey,4
Comanche,3
Cowley,4
Crawford,5
Decatur,4
Dickinson,4
Doniphan,4
Douglas,5
Edwards,3
Elk,3
Ellis,5
Ellsworth,4
Finney,3
Ford,3
Franklin,3
Geary,3
Gove,3
Graham,3
Grant,3
Gray,3
Greeley,3
Greenwood,3
Hamilton,3
Harper,4
Harvey,3
Haskell,3
Hodgeman,3
Jackson,3
Jefferson,3
Jewell,4
Johnson,4
Kearny,3
Kingman,3
Kiowa,3
Labette,4
Lane,4
Leavenworth,4
Lincoln,3
Linn,5
Logan,3
Lyon,4
McPherson,3
Marion,3
Marshall,3
Meade,3
Miami,3
Mitchell,4
Montgomery,4
Morris,4
Morton,4
Nemaha,4
Neosho,4
Ness,4
Norton,3
Osage,3
Osborne,5
Ottawa,3
Pawnee,3
Phillips,3
Pottawatomie,4
Pratt,3
Rawlins,4
Reno,3
Republic,3
Rice,4
Riley,4
Rooks,3
Rush,4
Russell,3
Saline,4
Scott,3
Sedgwick,4
Seward,3
Shawnee,4
Sheridan,3
Sherman,3
Smith,4
Stafford,4
Stanton,5
Stevens,4
Sumner,4
Thomas,4
Trego,3
Wabaunsee,3
Wallace,4
Washington,3
Wichita,3
Wilson,4
Woodson,4
Wyandotte,4
Adair,4
Allen,4
Anderson,4
Ballard,5
Barren,4
Bath,4
Bell,5
Boone,3
Bourbon,4
Boyd,5
Boyle,4
Bracken,5
Breathitt,6
Breckinridge,4
Bullitt,3
Butler,4
Caldwell,4
Calloway,6
Campbell,4
Carlisle,4
Carroll,5
Carter,6
Casey,5
Christian,4
Clark,4
Clay,6
Clinton,4
