County_Name,life_expectancy
Leflore,70
Lincoln,74
Lowndes,75
Madison,76
Marion,73
Marshall,74
Monroe,75
Montgomery,72
Neshoba,70
Newton,73
Noxubee,74
Oktibbeha,77
Panola,73
Pearl River,74
Perry,76
Pike,72
Pontotoc,75
Prentiss,73
Quitman,71
Rankin,78
Scott,73
Sharkey,70
Simpson,74
Smith,76
Stone,74
Sunflower,71
Tallahatchie,74
Tate,74
Tippah,72
Tishomingo,72
Tunica,70
Union,75
Walthall,75
Warren,73
Washington,71
Wayne,75
Webster,73
Wilkinson,70
Winston,74
Yalobusha,73
Yazoo,73
Adair,77
Andrew,79
Atchison,78
Audrain,75
Barry,75
Barton,78
Bates,76
Benton,75
Bollinger,75
Boone,80
Buchanan,76
Butler,74
Caldwell,77
Callaway,77
Camden,79
Cape Girardeau,77
Carroll,76
Carter,72
Cass,78
Cedar,75
Chariton,79
Christian,79
Clark,78
Clay,79
Clinton,76
Cole,79
Cooper,77
Crawford,74
Dade,76
Dallas,75
Daviess,79
DeKalb,77
Dent,77
Douglas,75
Dunklin,72
Franklin,76
Gasconade,76
Gentry,76
Greene,77
Grundy,76
Harrison,77
Henry,75
Hickory,75
Holt,79
Howard,77
Howell,75
Iron,73
Jackson,77
Jasper,75
Jefferson,75
Johnson,78
Knox,77
Laclede,74
Lafayette,76
Lawrence,74
Lewis,74
Lincoln,76
Linn,74
Livingston,78
McDonald,74
Macon,77
Madison,74
Maries,77
Marion,77
Mercer,76
Miller,77
Mississippi,72
Moniteau,78
Monroe,78
Montgomery,75
Morgan,74
New Madrid,72
Newton,76
Nodaway,79
Oregon,74
Osage,79
Ozark,76
Pemiscot,71
Perry,78
Pettis,76
Phelps,76
Pike,76
Platte,80
Polk,76
Pulaski,76
Putnam,75
Ralls,80
Randolph,75
Ray,75
Reynolds,76
Ripley,73
St. Charles,80
St. Clair,78
Ste. Genevieve,78
St. Francois,74
St. Louis,78
Saline,77
Schuyler,78
Scotland,78
Scott,75
Shannon,76
Shelby,75
Stoddard,75
Stone,76
Sullivan,76
Taney,77
Texas,76
Vernon,75
Warren,78
Washington,73
Wayne,73
Webster,77
Worth,72
Wright,73
St. Louis City,73
Beaverhead,80
Big Horn,68
Blaine,75
Broadwater,79
Carbon,81
Carter,
Cascade,77
Chouteau,78
Custer,79
Daniels,80
Dawson,80
Deer Lodge,75
Fallon,78
Fergus,78
Flathead,79
Gallatin,82
Garfield,
Glacier,69
Golden Valley,
Granite,83
Hill,76
Jefferson,80
Judith Basin,85
Lake,77
Lewis and Clark,79
Liberty,88
Lincoln,78
McCone,76
Madison,82
Meagher,82
Mineral,77
Missoula,79
Musselshell,77
Park,80
Petroleum,
Phillips,78
Pondera,77
Powder River,84
Powell,78
Prairie,
Ravalli,79
Richland,78
Roosevelt,68
Rosebud,73
Sanders,77
Sheridan,81
Silver Bow,76
Stillwater,81
Sweet Grass,82
Teton,79
Toole,76
Treasure,
Valley,79
Wheatland,77
Wibaux,
Yellowstone,78
Adams,78
Antelope,80
Arthur,
Banner,
Blaine,
Boone,81
Box Butte,78
Boyd,79
Brown,77
Buffalo,81
Burt,78
Butler,78
Cass,79
Cedar,80
Chase,78
Cherry,80
Cheyenne,78
Clay,79
Colfax,80
Cuming,83
Custer,80
Dakota,78
Dawes,79
Dawson,80
Deuel,79
Dixon,80
Dodge,78
Douglas,79
Dundy,77
Fillmore,80
Franklin,77
Frontier,86
Furnas,78
Gage,78
Garden,82
Garfield,75
Gosper,80
Grant,
Greeley,82
Hall,78
Hamilton,82
Harlan,78
Hayes,
Hitchcock,76
Holt,80
Hooker,
Howard,82
Jefferson,79
Johnson,76
Kearney,78
Keith,79
Keya Paha,
Kimball,76
Knox,79
Lancaster,80
Lincoln,78
Logan,
Loup,
McPherson,
Madison,77
Merrick,80
Morrill,78
Nance,78
Nemaha,77
Nuckolls,79
Otoe,80
Pawnee,80
Perkins,81
Phelps,80
Pierce,79
Platte,81
Polk,79
Red Willow,78
Richardson,78
Rock,
Saline,78
Sarpy,81
Saunders,79
Scotts Bluff,78
Seward,79
Sheridan,77
Sherman,80
Sioux,
Stanton,82
Thayer,77
Thomas,
Thurston,70
Valley,81
Washington,80
Wayne,83
Webster,76
Wheeler,
York,78
Churchill,75
Clark,78
Douglas,81
Elko,79
Esmeralda,
Eureka,83
Humboldt,76
Lander,78
Lincoln,81
Lyon,76
Mineral,75
Nye,74
Pershing,79
Storey,84
Washoe,78
White Pine,79
Carson City,74
Belknap,77
Carroll,79
Cheshire,78
Coos,77
Grafton,80
Hillsborough,79
Merrimack,79
Rockingham,80
Strafford,77
Sullivan,79
Atlantic,77
Bergen,83
Burlington,79
Camden,77
Cape May,77
Cumberland,75
Essex,79
Gloucester,77
Hudson,82
Hunterdon,83
Mercer,80
Middlesex,81
Monmouth,80
Morris,82
Ocean,79
Passaic,80
Salem,76
Somerset,82
Sussex,79
Union,81
Warren,79
Bernalillo,78
Catron,83
Chaves,75
Cibola,76
Colfax,77
Curry,76
De Baca,78
Dona Ana,80
Eddy,75
Grant,78
Guadalupe,76
Harding,
Hidalgo,77
Lea,76
Lincoln,77
Los Alamos,83
Luna,75
McKinley,72
Mora,82
Otero,77
Quay,74
Rio Arriba,74
Roosevelt,77
Sandoval,79
San Juan,76
San Miguel,76
Santa Fe,81
Sierra,72
Socorro,76
Taos,79
Torrance,76
Union,81
Valencia,77
Albany,80
Allegany,77
Bronx,80
Broome,78
Cattaraugus,77
Cayuga,79
Chautauqua,77
Chemung,77
Chenango,77
Clinton,79
Columbia,79
Cortland,78
Delaware,79
Dutchess,80
Erie,78
Essex,80
Franklin,79
Fulton,78
Genesee,78
Greene,78
Hamilton,79
Herkimer,79
Jefferson,78
Kings,82
Lewis,79
Livingston,79
Madison,80
Monroe,79
Montgomery,77
Nassau,82
New York,84
Niagara,77
Oneida,78
Onondaga,79
Ontario,79
Orange,80
Orleans,77
Oswego,78
Otsego,79
Putnam,82
Queens,83
Rensselaer,78
Richmond,80
Rockland,83
St. Lawrence,79
Saratoga,80
Schenectady,78
Schoharie,80
Schuyler,78
Seneca,77
Steuben,78
Suffolk,80
Sullivan,77
Tioga,80
Tompkins,80
Ulster,79
Warren,79
Washington,78
Wayne,78
Westchester,83
Wyoming,78
Yates,78
Alamance,77
Alexander,77
Alleghany,78
Anson,74
Ashe,78
Avery,77
Beaufort,75
Bertie,76
Bladen,75
Brunswick,78
Buncombe,78
Burke,76
Cabarrus,78
Caldwell,76
Camden,79
Carteret,77
Caswell,75
Catawba,76
Chatham,81
Cherokee,76
Chowan,76
Clay,76
Cleveland,74
Columbus,74
Craven,76
Cumberland,76
Currituck,78
Dare,78
Davidson,76
Davie,78
Duplin,79
Durham,80
Edgecombe,73
Forsyth,77
Franklin,77
Gaston,75
Gates,75
Graham,77
Granville,78
Greene,77
Guilford,78
Halifax,74
Harnett,76
Haywood,77
Henderson,79
Hertford,76
Hoke,76
Hyde,77
Iredell,77
Jackson,77
Johnston,78
Jones,76
Lee,76
Lenoir,75
Lincoln,77
McDowell,76
Macon,77
Madison,77
