County_Name,Net_migration_of_population
Montgomery,-3724
Prince George's,-5439
Queen Anne's,166
St. Mary's,348
Somerset,71
Talbot,251
Washington,372
Wicomico,371
Worcester,593
Baltimore City,-9629
Barnstable,933
Berkshire,-487
Bristol,840
Dukes,-20
Essex,-811
Franklin,-253
Hampden,-2453
Hampshire,21
Middlesex,-1632
Nantucket,117
Norfolk,2309
Plymouth,2405
Suffolk,-3229
Worcester,412
Alcona,153
Alger,40
Allegan,553
Alpena,84
Antrim,122
Arenac,-28
Baraga,-59
Barry,278
Bay,-389
Benzie,66
Berrien,-392
Branch,-143
Calhoun,14
Cass,99
Charlevoix,32
Cheboygan,-75
Chippewa,-54
Clare,292
Clinton,196
Crawford,162
Delta,36
Dickinson,-64
Eaton,508
Emmet,212
Genesee,-909
Gladwin,258
Gogebic,-1070
Grand Traverse,524
Gratiot,167
Hillsdale,-127
Houghton,-271
Huron,-92
Ingham,-143
Ionia,264
Iosco,178
Iron,48
Isabella,-800
Jackson,-170
Kalamazoo,-412
Kalkaska,232
Kent,-190
Keweenaw,39
Lake,26
Lapeer,-173
Leelanau,96
Lenawee,372
Livingston,664
Luce,-73
Mackinac,68
Macomb,628
Manistee,196
Marquette,427
Mason,83
Mecosta,15
Menominee,-77
Midland,-177
Missaukee,-13
Monroe,359
Montcalm,-160
Montmorency,155
Muskegon,-330
Newaygo,137
Oakland,-1164
Oceana,-76
Ogemaw,204
Ontonagon,-3
Osceola,72
Oscoda,59
Otsego,61
Ottawa,733
Presque Isle,-24
Roscommon,421
Saginaw,-296
St. Clair,425
St. Joseph,-91
Sanilac,46
Schoolcraft,93
Shiawassee,51
Tuscola,-274
Van Buren,138
Washtenaw,-2938
Wayne,-9519
Wexford,166
Aitkin,83
Anoka,1450
Becker,-5
Beltrami,248
Benton,173
Big Stone,2
Blue Earth,31
Brown,-117
Carlton,52
Carver,952
Cass,311
Chippewa,-127
Chisago,411
Clay,-194
Clearwater,-33
Cook,32
Cottonwood,-73
Crow Wing,300
Dakota,1587
Dodge,72
Douglas,189
Faribault,-71
Fillmore,5
Freeborn,-162
Goodhue,-7
Grant,-13
Hennepin,727
Houston,23
Hubbard,184
Isanti,525
Itasca,144
Jackson,-38
Kanabec,53
Kandiyohi,93
Kittson,17
Koochiching,-150
Lac qui Parle,-1
Lake,63
Lake of the Woods,12
Le Sueur,178
Lincoln,-24
Lyon,-225
McLeod,22
Mahnomen,2
Marshall,-67
Martin,-97
Meeker,26
Mille Lacs,126
Morrison,254
Mower,-246
Murray,-63
Nicollet,-19
Nobles,-312
Norman,-95
Olmsted,960
Otter Tail,118
Pennington,-89
Pine,140
Pipestone,-20
Polk,-123
Pope,156
Ramsey,-1890
Red Lake,49
Redwood,-114
Renville,-82
Rice,156
Rock,-96
Roseau,-38
St. Louis,-398
Scott,737
Sherburne,602
Sibley,-168
Stearns,429
Steele,-172
Stevens,1
Swift,-70
Todd,-22
Traverse,-33
Wabasha,-68
Wadena,-48
Waseca,-107
Washington,2544
Watonwan,-160
Wilkin,-28
Winona,-267
Wright,1173
Yellow Medicine,-102
Adams,-263
Alcorn,190
Amite,-9
Attala,-141
Benton,20
Bolivar,-496
Calhoun,-68
Carroll,44
Chickasaw,-26
Choctaw,-27
Claiborne,-97
Clarke,-40
Clay,-66
Coahoma,-555
Copiah,-363
Covington,-196
DeSoto,2323
Forrest,-250
Franklin,-40
George,292
Greene,-431
Grenada,-185
Hancock,372
Harrison,1208
Hinds,-4831
Holmes,-431
Humphreys,-176
Issaquena,26
Itawamba,-72
Jackson,338
Jasper,-37
Jefferson,-104
Jefferson Davis,-50
Jones,-166
Kemper,33
Lafayette,361
Lamar,351
Lauderdale,-1166
Lawrence,145
Leake,-30
Lee,6
Leflore,-483
Lincoln,-65
Lowndes,-328
Madison,465
Marion,-149
Marshall,-86
Monroe,-266
Montgomery,-187
Neshoba,-90
Newton,-351
Noxubee,-167
Oktibbeha,156
Panola,-38
Pearl River,285
Perry,41
Pike,-100
Pontotoc,143
Prentiss,32
Quitman,-233
Rankin,590
Scott,-335
Sharkey,-69
Simpson,-50
Smith,-121
Stone,301
Sunflower,-1078
Tallahatchie,-151
Tate,-51
Tippah,-44
Tishomingo,89
Tunica,-359
Union,130
Walthall,-120
Warren,-770
Washington,-1088
Wayne,-154
Webster,-60
Wilkinson,-117
Winston,-150
Yalobusha,-234
Yazoo,558
Adair,-208
Andrew,22
Atchison,-9
Audrain,-72
Barry,72
Barton,-56
Bates,-141
Benton,276
Bollinger,-46
Boone,544
Buchanan,-974
Butler,-39
Caldwell,-41
Callaway,-246
Camden,546
Cape Girardeau,75
Carroll,-16
Carter,-85
Cass,880
Cedar,236
Chariton,-14
Christian,1188
Clark,-41
Clay,2340
Clinton,-27
Cole,-153
Cooper,68
Crawford,-1
Dade,41
Dallas,93
Daviess,-92
DeKalb,49
Dent,37
Douglas,-149
Dunklin,-258
Franklin,118
Gasconade,73
Gentry,-19
Greene,1534
Grundy,-159
Harrison,-13
Henry,70
Hickory,135
Holt,6
Howard,-78
Howell,-2
Iron,-7
Jackson,-243
Jasper,523
Jefferson,368
Johnson,135
Knox,-6
Laclede,51
Lafayette,185
Lawrence,53
Lewis,-83
Lincoln,1074
Linn,-79
Livingston,58
McDonald,-269
Macon,-38
Madison,-57
Maries,-57
Marion,-44
Mercer,-14
Miller,281
Mississippi,-164
Moniteau,-93
Monroe,15
Montgomery,74
Morgan,229
New Madrid,-160
Newton,9
Nodaway,-141
Oregon,7
Osage,-48
Ozark,155
Pemiscot,-441
Perry,-140
Pettis,-255
Phelps,-18
Pike,-217
Platte,1154
Polk,-76
Pulaski,231
Putnam,-53
Ralls,49
Randolph,-37
Ray,89
Reynolds,17
Ripley,-67
St. Charles,1954
St. Clair,51
Ste. Genevieve,14
St. Francois,559
St. Louis,-1826
Saline,-129
Schuyler,39
Scotland,-69
Scott,-286
Shannon,-35
Shelby,-93
Stoddard,-179
Stone,401
Sullivan,-159
Taney,152
Texas,-86
Vernon,58
Warren,778
Washington,-207
Wayne,-182
Webster,218
Worth,-18
Wright,104
St. Louis City,-3680
Beaverhead,62
Big Horn,-158
Blaine,-111
Broadwater,154
Carbon,48
Carter,19
Cascade,-589
Chouteau,-86
Custer,-169
Daniels,-42
Dawson,-57
Deer Lodge,62
Fallon,-77
Fergus,-41
Flathead,1587
Gallatin,2084
Garfield,-2
Glacier,-172
Golden Valley,-6
Granite,26
Hill,14
Jefferson,160
Judith Basin,62
Lake,256
Lewis and Clark,723
Liberty,-74
Lincoln,306
McCone,-7
Madison,95
Meagher,10
Mineral,110
Missoula,715
Musselshell,29
Park,-28
Petroleum,-19
Phillips,-102
Pondera,-69
Powder River,-44
Powell,-36
Prairie,3
Ravalli,753
Richland,-94
Roosevelt,-101
Rosebud,-142
Sanders,281
Sheridan,-69
Silver Bow,232
Stillwater,166
Sweet Grass,33
Teton,15
Toole,-119
Treasure,18
Valley,-38
Wheatland,-63
Wibaux,-63
Yellowstone,901
Adams,-227
Antelope,-31
Arthur,3
Banner,15
Blaine,-15
Boone,-44
Box Butte,25
Boyd,-25
Brown,-8
Buffalo,46
Burt,8
Butler,-28
Cass,24
Cedar,-61
Chase,-5
Cherry,-94
Cheyenne,-374
Clay,-9
Colfax,-147
Cuming,-110
Custer,-50
Dakota,-208
Dawes,-112
Dawson,-358
Deuel,-25
Dixon,-85
Dodge,-214
Douglas,719
Dundy,-63
Fillmore,-73
Franklin,-43
Frontier,17
Furnas,-27
Gage,47
Garden,-54
Garfield,5
Gosper,-8
Grant,-41
Greeley,-5
Hall,-364
Hamilton,44
Harlan,3
Hayes,-11
Hitchcock,-22
Holt,-101
Hooker,7
Howard,-25
Jefferson,-44
Johnson,-28
Kearney,-61
Keith,29
Keya Paha,2
Kimball,63
Knox,-73
Lancaster,835
Lincoln,-303
Logan,-4
Loup,44
McPherson,2
Madison,-220
Merrick,19
Morrill,-36
Nance,4
Nemaha,-19
Nuckolls,-42
Otoe,-8
Pawnee,-11
Perkins,-19
Phelps,4
Pierce,-18
Platte,4
Polk,-26
Red Willow,8
Richardson,-45
Rock,8
Saline,-173
Sarpy,1714
Saunders,261
Scotts Bluff,-374
Seward,-21
Sheridan,62
Sherman,-42
Sioux,-28
Stanton,-81
Thayer,-10
Thomas,3
Thurston,-119
Valley,-39
Washington,83
Wayne,41
Webster,-40
Wheeler,-20
York,-103
Churchill,336
Clark,31283
Douglas,675
Elko,-165
Esmeralda,46
Eureka,29
Humboldt,-56
Lander,-55
Lincoln,-49
Lyon,1645
Mineral,5
Nye,1684
Pershing,29
Storey,151
Washoe,5894
White Pine,33
Carson City,752
Belknap,460
Carroll,412
Cheshire,269
Coos,272
Grafton,340
Hillsborough,1652
Merrimack,830
Rockingham,1354
Strafford,743
Sullivan,84
Atlantic,-236
Bergen,-2530
Burlington,319
Camden,-1054
Cape May,166
Cumberland,-1435
Essex,-3331
Gloucester,-25
Hudson,-5164
Hunterdon,-397
Mercer,-1815
Middlesex,-3776
Monmouth,-1428
Morris,-1944
Ocean,4266
