County_Name,pct_smokers
Custer,14
Dakota,16
Dawes,14
Dawson,13
Deuel,13
Dixon,13
Dodge,17
Douglas,15
Dundy,15
Fillmore,13
Franklin,14
Frontier,13
Furnas,15
Gage,14
Garden,14
Garfield,13
Gosper,12
Grant,16
Greeley,13
Hall,15
Hamilton,12
Harlan,15
Hayes,14
Hitchcock,16
Holt,13
Hooker,13
Howard,14
Jefferson,15
Johnson,15
Kearney,14
Keith,15
Keya Paha,11
Kimball,15
Knox,13
Lancaster,12
Lincoln,15
Logan,14
Loup,13
McPherson,14
Madison,15
Merrick,15
Morrill,14
Nance,15
Nemaha,14
Nuckolls,14
Otoe,13
Pawnee,15
Perkins,12
Phelps,13
Pierce,14
Platte,14
Polk,13
Red Willow,15
Richardson,16
Rock,13
Saline,15
Sarpy,12
Saunders,14
Scotts Bluff,18
Seward,13
Sheridan,16
Sherman,14
Sioux,14
Stanton,14
Thayer,13
Thomas,13
Thurston,27
Valley,14
Washington,13
Wayne,13
Webster,15
Wheeler,14
York,14
Churchill,18
Clark,16
Douglas,14
Elko,17
Esmeralda,19
Eureka,17
Humboldt,17
Lander,17
Lincoln,16
Lyon,20
Mineral,21
Nye,18
Pershing,17
Storey,15
Washoe,15
White Pine,17
Carson City,18
Belknap,14
Carroll,14
Cheshire,16
Coos,16
Grafton,13
Hillsborough,13
Merrimack,13
Rockingham,12
Strafford,17
Sullivan,16
Atlantic,15
Bergen,11
Burlington,12
Camden,16
Cape May,15
Cumberland,18
Essex,14
Gloucester,15
Hudson,15
Hunterdon,12
Mercer,13
Middlesex,10
Monmouth,13
Morris,12
Ocean,14
Passaic,13
Salem,17
Somerset,10
Sussex,13
Union,13
Warren,14
Bernalillo,15
Catron,14
Chaves,17
Cibola,23
Colfax,16
Curry,18
De Baca,16
Dona Ana,16
Eddy,15
Grant,14
Guadalupe,14
Harding,13
Hidalgo,17
Lea,16
Lincoln,15
Los Alamos,11
Luna,19
McKinley,21
Mora,18
Otero,19
Quay,16
Rio Arriba,17
Roosevelt,17
Sandoval,16
San Juan,21
San Miguel,18
Santa Fe,13
Sierra,15
Socorro,18
Taos,16
Torrance,19
Union,15
Valencia,17
Albany,14
Allegany,16
Bronx,15
Broome,15
Cattaraugus,16
Cayuga,15
Chautauqua,17
Chemung,16
Chenango,16
Clinton,16
Columbia,14
Cortland,15
Delaware,15
Dutchess,15
Erie,17
Essex,13
Franklin,18
Fulton,18
Genesee,15
Greene,15
Hamilton,13
Herkimer,17
Jefferson,16
Kings,13
Lewis,15
Livingston,15
Madison,15
Monroe,15
Montgomery,16
Nassau,11
New York,12
Niagara,16
Oneida,16
Onondaga,15
Ontario,14
Orange,15
Orleans,17
Oswego,18
Otsego,15
Putnam,12
Queens,12
Rensselaer,14
Richmond,15
Rockland,12
St. Lawrence,17
Saratoga,14
Schenectady,14
Schoharie,14
Schuyler,16
Seneca,15
Steuben,15
Suffolk,12
Sullivan,16
Tioga,15
Tompkins,14
Ulster,15
Warren,14
Washington,15
Wayne,16
Westchester,11
Wyoming,15
Yates,15
Alamance,17
Alexander,16
Alleghany,17
Anson,20
Ashe,16
Avery,17
Beaufort,17
Bertie,19
Bladen,18
Brunswick,14
Buncombe,16
Burke,17
Cabarrus,15
Caldwell,16
Camden,15
Carteret,15
Caswell,17
Catawba,16
Chatham,14
Cherokee,17
Chowan,17
Clay,16
Cleveland,18
Columbus,19
Craven,15
Cumberland,18
Currituck,15
Dare,15
Davidson,17
Davie,15
Duplin,21
Durham,14
Edgecombe,20
Forsyth,18
Franklin,18
Gaston,16
Gates,15
Graham,18
Granville,16
Greene,19
Guilford,15
Halifax,20
Harnett,18
Haywood,18
Henderson,13
Hertford,19
Hoke,20
Hyde,17
Iredell,15
Jackson,17
Johnston,17
Jones,18
Lee,16
Lenoir,19
Lincoln,16
McDowell,18
Macon,15
Madison,16
Martin,19
Mecklenburg,13
Mitchell,15
Montgomery,17
Moore,14
Nash,18
