County_Name,pct_unemployed
Tama,2
Taylor,1
Union,3
Van Buren,2
Wapello,3
Warren,2
Washington,2
Wayne,2
Webster,3
Winnebago,2
Winneshiek,2
Woodbury,2
Worth,2
Wright,2
Allen,4
Anderson,3
Atchison,4
Barber,2
Barton,3
Bourbon,4
Brown,3
Butler,3
Chase,2
Chautauqua,4
Cherokee,3
Cheyenne,2
Clark,2
Clay,3
Cloud,3
Coffey,4
Comanche,2
Cowley,3
Crawford,4
Decatur,3
Dickinson,3
Doniphan,3
Douglas,3
Edwards,2
Elk,3
Ellis,2
Ellsworth,2
Finney,2
Ford,2
Franklin,3
Geary,4
Gove,2
Graham,3
Grant,2
Gray,1
Greeley,1
Greenwood,3
Hamilton,1
Harper,2
Harvey,3
Haskell,2
Hodgeman,2
Jackson,2
Jefferson,3
Jewell,2
Johnson,2
Kearny,2
Kingman,3
Kiowa,2
Labette,3
Lane,2
Leavenworth,3
Lincoln,2
Linn,5
Logan,2
Lyon,3
McPherson,2
Marion,3
Marshall,2
Meade,2
Miami,3
Mitchell,2
Montgomery,4
Morris,2
Morton,3
Nemaha,2
Neosho,4
Ness,2
Norton,2
Osage,3
Osborne,2
Ottawa,2
Pawnee,3
Phillips,2
Pottawatomie,2
Pratt,2
Rawlins,2
Reno,3
Republic,2
Rice,2
Riley,2
Rooks,3
Rush,2
Russell,2
Saline,3
Scott,1
Sedgwick,3
Seward,3
Shawnee,3
Sheridan,2
Sherman,2
Smith,2
Stafford,2
Stanton,2
Stevens,2
Sumner,3
Thomas,2
Trego,3
Wabaunsee,3
Wallace,2
Washington,2
Wichita,2
Wilson,4
Woodson,4
Wyandotte,4
Adair,5
Allen,3
Anderson,3
Ballard,6
Barren,4
Bath,6
Bell,6
Boone,3
Bourbon,3
Boyd,5
Boyle,4
Bracken,4
Breathitt,7
Breckinridge,5
Bullitt,4
Butler,4
Caldwell,4
Calloway,3
Campbell,3
Carlisle,4
Carroll,4
Carter,9
Casey,4
Christian,5
Clark,4
Clay,7
Clinton,5
Crittenden,5
Cumberland,4
Daviess,3
Edmonson,5
Elliott,9
Estill,5
Fayette,3
Fleming,5
Floyd,6
Franklin,3
Fulton,5
Gallatin,4
Garrard,4
Grant,4
Graves,5
Grayson,4
Green,4
Greenup,6
Hancock,4
Hardin,4
Harlan,7
Harrison,4
Hart,3
Henderson,3
Henry,3
Hickman,5
Hopkins,4
Jackson,6
Jefferson,4
Jessamine,3
Johnson,6
Kenton,3
Knott,6
Knox,6
Larue,4
Laurel,5
Lawrence,7
Lee,6
Leslie,7
Letcher,6
Lewis,8
Lincoln,5
Livingston,6
Logan,3
Lyon,5
McCracken,5
McCreary,6
McLean,4
Madison,3
Magoffin,13
Marion,3
Marshall,5
Martin,6
Mason,5
Meade,4
Menifee,7
Mercer,4
Metcalfe,4
Monroe,4
Montgomery,5
Morgan,6
Muhlenberg,6
Nelson,4
Nicholas,4
Ohio,5
Oldham,3
Owen,4
Owsley,7
Pendleton,4
Perry,6
Pike,5
Powell,5
Pulaski,5
Robertson,4
Rockcastle,4
Rowan,5
Russell,5
Scott,3
Shelby,3
Simpson,3
Spencer,3
Taylor,4
Todd,3
Trigg,4
Trimble,4
Union,4
Warren,3
Washington,3
Wayne,7
Webster,4
Whitley,5
Wolfe,7
Woodford,3
Acadia,5
Allen,5
Ascension,4
Assumption,6
Avoyelles,5
Beauregard,5
Bienville,5
Bossier,4
Caddo,5
Calcasieu,3
Caldwell,5
Cameron,3
Catahoula,6
Claiborne,5
Concordia,7
De Soto,5
East Baton Rouge,4
East Carroll,10
East Feliciana,4
Evangeline,5
Franklin,7
Grant,5
Iberia,5
Iberville,6
Jackson,4
Jefferson,4
Jefferson Davis,4
Lafayette,4
Lafourche,4
La Salle,4
Lincoln,5
Livingston,4
Madison,8
Morehouse,8
Natchitoches,5
Orleans,5
Ouachita,5
Plaquemines,4
Pointe Coupee,5
Rapides,5
Red River,4
Richland,6
Sabine,5
St. Bernard,5
St. Charles,4
St. Helena,6
St. James,6
St. John the Baptist,5
St. Landry,6
St. Martin,5
St. Mary,6
St. Tammany,4
Tangipahoa,5
Tensas,7
Terrebonne,5
Union,5
Vermilion,5
Vernon,6
Washington,5
Webster,6
West Baton Rouge,4
West Carroll,9
West Feliciana,3
Winn,6
Androscoggin,3
Aroostook,4
Cumberland,2
Franklin,4
Hancock,3
Kennebec,3
Knox,3
Lincoln,3
Oxford,3
Penobscot,3
Piscataquis,4
Sagadahoc,2
Somerset,4
Waldo,3
Washington,4
York,3
Allegany,5
Anne Arundel,3
Baltimore,4
Calvert,3
Caroline,3
Carroll,3
Cecil,4
Charles,3
Dorchester,5
Frederick,3
Garrett,4
Harford,3
Howard,3
Kent,4
Montgomery,3
Prince George's,4
Queen Anne's,3
St. Mary's,3
Somerset,6
Talbot,3
Washington,4
Wicomico,5
Worcester,8
Baltimore City,5
Barnstable,4
Berkshire,4
Bristol,4
Dukes,4
Essex,3
Franklin,3
Hampden,4
Hampshire,3
Middlesex,2
Nantucket,4
Norfolk,2
