County_Name,ratio_primary_care_provider
Van Buren,2025
Wapello,2416
Warren,4283
Washington,3188
Wayne,2259
Webster,2522
Winnebago,3870
Winneshiek,1872
Woodbury,2422
Worth,11188
Wright,3225
Allen,2395
Anderson,3924
Atchison,2667
Barber,3187
Barton,2637
Bourbon,2615
Brown,2564
Butler,3746
Chase,2629
Chautauqua,3731
Cherokee,4630
Cheyenne,3215
Clark,787
Clay,2129
Cloud,3994
Coffey,2547
Comanche,1478
Cowley,3432
Crawford,1777
Decatur,3842
Dickinson,3870
Doniphan,4497
Douglas,2649
Edwards,5742
Elk,5006
Ellis,2032
Ellsworth,2822
Finney,2629
Ford,3868
Franklin,5187
Geary,3204
Gove,1964
Graham,3741
Grant,3716
Gray,8975
Greeley,1556
Greenwood,3252
Hamilton,2607
Harper,2230
Harvey,2046
Haskell,5052
Hodgeman,1220
Jackson,2956
Jefferson,4483
Jewell,1421
Johnson,1685
Kearny,1758
Kingman,8025
Kiowa,3114
Labette,2548
Lane,2079
Leavenworth,3383
Lincoln,4051
Linn,6488
Logan,1980
Lyon,2783
McPherson,3151
Marion,4491
Marshall,3569
Meade,4821
Miami,3775
Mitchell,4096
Montgomery,3725
Morris,4579
Morton,1802
Nemaha,2281
Neosho,2327
Ness,2855
Norton,3624
Osage,2277
Osborne,2963
Ottawa,8734
Pawnee,1551
Phillips,3571
Pottawatomie,4529
Pratt,1779
Rawlins,836
Reno,2481
Republic,2106
Rice,4321
Riley,2282
Rooks,2512
Rush,3722
Russell,2420
Saline,2024
Scott,1808
Sedgwick,1839
Seward,3128
Shawnee,1877
Sheridan,3034
Sherman,3620
Smith,2413
Stafford,6296
Stanton,3054
Stevens,4659
Sumner,4811
Thomas,2072
Trego,3443
Wabaunsee,3437
Wallace,1566
Washington,3635
Wichita,2827
Wilson,2234
Woodson,132
Wyandotte,3106
Adair,3985
Allen,10498
Anderson,5646
Ballard,2660
Barren,2003
Bath,13754
Bell,2922
Boone,3160
Bourbon,4699
Boyd,1409
Boyle,1887
Bracken,5782
Breathitt,2679
Breckinridge,6287
Bullitt,8353
Butler,14656
Caldwell,3078
Calloway,2847
Campbell,2618
Carlisle,4013
Carroll,3654
Carter,5604
Casey,16972
Christian,1870
Clark,2851
Clay,3089
Clinton,4610
Crittenden,4500
Cumberland,2975
Daviess,2559
Edmonson,14272
Elliott,8774
Estill,4404
Fayette,1181
Fleming,3507
Floyd,2086
Franklin,4108
Fulton,5136
Gallatin,3666
Garrard,7017
Grant,7106
Graves,4715
Grayson,2900
Green,6914
Greenup,3147
Hancock,1251
Hardin,2254
Harlan,4116
Harrison,3242
Hart,3940
Henderson,2850
Henry,3791
Hickman,6731
Hopkins,1891
Jackson,6397
Jefferson,1598
Jessamine,2867
Johnson,2395
Kenton,1994
Knott,4739
Knox,5052
Larue,21359
Laurel,3165
Lawrence,3536
Lee,4457
Leslie,5701
Letcher,2548
Lewis,5651
Lincoln,4231
Livingston,3860
Logan,5182
Lyon,3584
McCracken,1382
McCreary,5091
McLean,4626
Madison,3009
Magoffin,3908
Marion,3079
Marshall,4249
Martin,4481
Mason,2117
Meade,7085
Menifee,2613
Mercer,5859
Metcalfe,7562
Monroe,3918
Montgomery,2667
Morgan,5879
Muhlenberg,3163
Nelson,3215
Nicholas,8324
Ohio,4723
Oldham,3409
Owen,6318
Owsley,745
Pendleton,7764
Perry,1039
Pike,1607
Powell,13411
Pulaski,2225
Robertson,88
Rockcastle,3267
Rowan,1729
Russell,4448
Scott,3245
Shelby,3818
Simpson,3469
Spencer,4401
Taylor,2410
Todd,7001
Trigg,6279
Trimble,12796
Union,6961
Warren,2303
Washington,4543
Wayne,2731
Webster,5158
Whitley,1683
Wolfe,7982
Woodford,3234
Acadia,6379
Allen,6288
Ascension,4290
Assumption,11226
Avoyelles,5343
Beauregard,4790
Bienville,8720
Bossier,4017
Caddo,1549
Calcasieu,2312
Caldwell,4562
Cameron,5198
Catahoula,10943
Claiborne,4256
Concordia,5486
De Soto,10955
East Baton Rouge,1682
East Carroll,4721
East Feliciana,3924
Evangeline,3125
Franklin,3505
Grant,15664
Iberia,3853
Iberville,4927
Jackson,6728
Jefferson,1886
Jefferson Davis,4222
Lafayette,1700
Lafourche,3673
La Salle,3151
Lincoln,2750
Livingston,8895
Madison,4689
Morehouse,4186
Natchitoches,3615
Orleans,2375
Ouachita,1822
Plaquemines,8438
Pointe Coupee,5375
Rapides,1855
Red River,5328
Richland,2206
Sabine,10409
St. Bernard,6845
St. Charles,5714
St. Helena,6208
St. James,6185
St. John the Baptist,5676
St. Landry,2622
St. Martin,9370
St. Mary,3469
St. Tammany,2364
Tangipahoa,3809
Tensas,892
Terrebonne,3437
Union,14077
Vermilion,5466
Vernon,3998
Washington,3912
Webster,3193
West Baton Rouge,8328
West Carroll,5229
West Feliciana,4490
Winn,3202
Androscoggin,1753
Aroostook,1739
Cumberland,1151
Franklin,1968
Hancock,1431
Kennebec,1306
Knox,2280
Lincoln,1828
Oxford,3129
Penobscot,1207
Piscataquis,2513
Sagadahoc,3915
Somerset,2687
Waldo,2577
Washington,2404
York,2751
Allegany,2536
Anne Arundel,2398
Baltimore,1904
Calvert,3675
Caroline,3914
Carroll,3564
Cecil,4316
Charles,3870
Dorchester,3751
Frederick,2653
Garrett,2685
Harford,2972
Howard,1598
Kent,2525
Montgomery,1870
Prince George's,3396
Queen Anne's,4950
St. Mary's,4590
Somerset,4485
Talbot,1697
Washington,2767
Wicomico,1948
Worcester,2207
Baltimore City,1422
Barnstable,2067
Berkshire,1741
Bristol,2959
Dukes,2596
Essex,2351
Franklin,2418
Hampden,2117
Hampshire,1703
Middlesex,1855
Nantucket,3020
Norfolk,1807
Plymouth,2815
Suffolk,995
Worcester,1738
Alcona,3452
Alger,2061
Allegan,7321
Alpena,2015
Antrim,3788
Arenac,3801
Baraga,1862
Barry,4451
Bay,3723
Benzie,2997
Berrien,2466
Branch,3849
Calhoun,2468
Cass,8582
Charlevoix,2776
Cheboygan,3385
Chippewa,2712
Clare,4347
Clinton,6587
Crawford,1842
Delta,2387
Dickinson,1623
Eaton,5141
Emmet,1274
Genesee,2336
Gladwin,9476
Gogebic,2040
Grand Traverse,1169
Gratiot,2863
Hillsdale,5729
Houghton,2643
Huron,2915
Ingham,1735
Ionia,5030
Iosco,2939
Iron,2402
Isabella,3239
Jackson,3171
Kalamazoo,1714
Kalkaska,5147
Kent,1642
Keweenaw,88
Lake,14389
Lapeer,5528
Leelanau,5816
Lenawee,5658
Livingston,4408
Luce,1366
Mackinac,2880
Macomb,3416
Manistee,2822
Marquette,1583
Mason,2486
Mecosta,3585
Menominee,5179
Midland,1839
Missaukee,12537
Monroe,5380
Montcalm,3444
Montmorency,1869
Muskegon,2404
Newaygo,3676
Oakland,1487
Oceana,3164
Ogemaw,3496
Ontonagon,8779
Osceola,4696
Oscoda,6213
Otsego,2038
Ottawa,3315
Presque Isle,7554
Roscommon,3345
Saginaw,2000
St. Clair,3471
St. Joseph,5355
Sanilac,5155
Schoolcraft,2159
Shiawassee,3725
Tuscola,4486
Van Buren,3555
Washtenaw,905
Wayne,2626
Wexford,2193
Aitkin,2543
Anoka,3546
Becker,2077
Beltrami,2094
Benton,15128
Big Stone,1431
Blue Earth,1557
Brown,2235
Carlton,2976
Carver,2986
Cass,4414
Chippewa,2689
Chisago,4169
Clay,7206
Clearwater,3321
Cook,5933
Cottonwood,2352
Crow Wing,1861
Dakota,3378
Dodge,1730
Douglas,2040
Faribault,3688
Fillmore,10016
Freeborn,2488
Goodhue,2748
Grant,3975
Hennepin,1470
Houston,3757
Hubbard,2756
Isanti,5316
Itasca,2294
Jackson,1652
Kanabec,2618
Kandiyohi,2278
Kittson,1062
Koochiching,4169
Lac qui Parle,1906
Lake,3834
Lake of the Woods,3751
Le Sueur,16526
Lincoln,3785
Lyon,2255
McLeod,2647
Mahnomen,6209
Marshall,12486
Martin,2183
Meeker,5636
Mille Lacs,2383
Morrison,3495
Mower,4067
Murray,9528
Nicollet,3540
Nobles,3199
Norman,1619
Olmsted,601
Otter Tail,3313
Pennington,3354
Pine,7324
Pipestone,4833
Polk,3244
Pope,1853
Ramsey,1667
Red Lake,3999
Redwood,3816
Renville,6583
Rice,3178
Rock,4087
Roseau,3431
St. Louis,1471
Scott,5515
Sherburne,4722
Sibley,10441
Stearns,1620
Steele,3531
Stevens,3642
Swift,3049
Todd,3820
Traverse,4973
Wabasha,2490
Wadena,1902
Waseca,6246
Washington,2131
Watonwan,4711
Wilkin,1564
Winona,3797
Wright,4186
Yellow Medicine,2321
Adams,1869
Alcorn,3521
Amite,5690
Attala,3466
Benton,2068
Bolivar,2919
Calhoun,9051
Carroll,8374
Chickasaw,3050
Choctaw,4415
Claiborne,3363
Clarke,4585
Clay,4118
Coahoma,2447
Copiah,5706
Covington,4099
DeSoto,4374
Forrest,1915
Franklin,3237
George,6043
Greene,1235
Grenada,2788
Hancock,4420
Harrison,2540
Hinds,1694
Holmes,2950
Humphreys,4845
Issaquena,110
Itawamba,6857
Jackson,3120
Jasper,9634
Jefferson,2831
Jefferson Davis,6905
Jones,2742
Kemper,12390
Lafayette,2663
Lamar,5192
Lauderdale,1644
Lawrence,5104
Leake,5741
Lee,1395
Leflore,2292
Lincoln,2845
Lowndes,2470
Madison,1814
Marion,4899
Marshall,10382
Monroe,3188
Montgomery,3367
Neshoba,2537
Newton,4871
Noxubee,958
Oktibbeha,3611
Panola,5352
Pearl River,4685
Perry,6934
Pike,2926
Pontotoc,7601
Prentiss,3862
Quitman,8444
Rankin,2565
Scott,6970
Sharkey,6595
Simpson,4883
Smith,18364
Stone,4959
Sunflower,4492
Tallahatchie,5874
Tate,6432
Tippah,6492
Tishomingo,4103
Tunica,1657
Union,2662
Walthall,5310
Warren,2925
Washington,3146
Wayne,5663
Webster,3867
Wilkinson,4400
Winston,3433
Yalobusha,14046
Yazoo,6038
Adair,2384
Andrew,14647
Atchison,3213
Audrain,3792
Barry,2521
Barton,5323
Bates,5897
Benton,5568
Bollinger,24475
Boone,1530
Buchanan,2440
Butler,1600
Caldwell,4554
Callaway,5455
Camden,2884
Cape Girardeau,1622
Carroll,4181
Carter,6926
Cass,6763
Cedar,5289
Chariton,8970
Christian,4423
Clark,6783
Clay,2869
Clinton,3234
Cole,2503
Cooper,5036
Crawford,2178
Dade,3410
Dallas,19068
Daviess,10024
DeKalb,16826
Dent,7366
Douglas,7679
Dunklin,3368
Franklin,3144
Gasconade,4205
Gentry,4659
Greene,1604
Grundy,5299
Harrison,4243
Henry,2486
Hickory,7908
Holt,5294
Howard,3983
Howell,1720
Iron,11498
Jackson,2044
Jasper,2350
Jefferson,6610
Johnson,3719
Knox,7924
Laclede,2981
Lafayette,5710
Lawrence,3251
Lewis,7448
Lincoln,16265
Linn,4159
Livingston,3157
McDonald,9707
Macon,4565
Madison,3668
Maries,11790
Marion,2245
Mercer,7319
Miller,7223
Mississippi,9460
Moniteau,11256
Monroe,5759
Montgomery,7161
Morgan,8429
New Madrid,20465
Newton,5080
Nodaway,3732
Oregon,2635
Osage,20545
Ozark,6847
Pemiscot,5063
Perry,3732
Pettis,3510
Phelps,1826
Pike,4518
Platte,3073
Polk,2278
Pulaski,3392
Putnam,6361
Ralls,5112
Randolph,3725
Ray,7434
Reynolds,3343
Ripley,4941
St. Charles,4302
St. Clair,3683
Ste. Genevieve,5210
St. Francois,2520
St. Louis,1825
Saline,3269
Schuyler,3036
Scotland,1448
Scott,2922
Shannon,4095
Shelby,2017
Stoddard,3838
Stone,5528
Sullivan,4152
Taney,2361
Texas,4686
Vernon,4021
Warren,10688
Washington,4791
Wayne,5511
Webster,5371
Worth,4097
Wright,7191
St. Louis City,1559
Beaverhead,1902
Big Horn,2437
Blaine,3379
Broadwater,6011
Carbon,4818
Carter,669
Cascade,2138
Chouteau,6723
Custer,1748
Daniels,509
Dawson,2906
Deer Lodge,1672
Fallon,2235
Fergus,3263
Flathead,1873
Gallatin,2198
Garfield,1321
Glacier,2297
Golden Valley,1648
Granite,5047
Hill,2357
Jefferson,4345
Judith Basin,163
Lake,2450
Lewis and Clark,1839
Liberty,3035
Lincoln,2121
McCone,1746
Madison,2142
Meagher,2792
Mineral,2847
Missoula,1639
Musselshell,2326
Park,1673
Petroleum,43
Phillips,4934
Pondera,2734
Powder River,1789
Powell,3093
Prairie,590
Ravalli,3179
Richland,3572
Roosevelt,3512
Rosebud,2605
Sanders,3670
Sheridan,2876
Silver Bow,2259
Stillwater,7094
Sweet Grass,2774
Teton,6855
Toole,3656
Treasure,56
Valley,2231
Wheatland,745
Wibaux,85
Yellowstone,1581
Adams,1847
Antelope,3026
Arthur,38
Banner,61
Blaine,39
Boone,1417
Box Butte,3524
Boyd,2614
Brown,1996
Buffalo,1767
Burt,3476
Butler,3693
Cass,7596
Cedar,10219
Chase,1326
Cherry,2278
Cheyenne,2544
Clay,5174
Colfax,1814
Cuming,4496
Custer,3365
Dakota,12603
Dawes,3449
Dawson,2942
Deuel,154
Dixon,5732
Dodge,3001
Douglas,1472
Dundy,2244
Fillmore,2317
Franklin,1927
Frontier,2608
Furnas,2267
Gage,2402
Garden,1976
Garfield,4003
Gosper,83
Grant,54
Greeley,98
Hall,2457
Hamilton,2570
Harlan,2282
Hayes,75
Hitchcock,2806
Holt,1463
Hooker,365
Howard,3070
Jefferson,2855
Johnson,3449
Kearney,3486
Keith,2682
Keya Paha,66
Kimball,1206
Knox,2883
Lancaster,2282
Lincoln,2606
Logan,63
Loup,51
McPherson,41
Madison,1984
Merrick,5874
Morrill,6008
Nance,883
